id,observed_on,latitude,longitude,positional_accuracy,place_county_name,place_state_name,species_guess
135408087,2022-09-17,39.257458208,-78.3061698801,114.0,Frederick,Virginia,Spotted Lanternfly
135410096,2022-09-16,39.2173317859,-78.1359466283,31.0,Frederick,Virginia,Spotted Lanternfly
135427550,2022-09-17,39.0840719033,-78.0841145736,168.0,Clarke,Virginia,Spotted Lanternfly
135506435,2022-09-18,39.2573355743,-78.3062410341,8.0,Frederick,Virginia,Spotted Lanternfly
135591829,2022-09-18,39.18475,-78.1566861667,8.0,Winchester,Virginia,Spotted Lanternfly
135694158,2022-09-18,37.3399861111,-79.1988444444,8.0,Campbell,Virginia,Spotted Lanternfly
135703395,2022-09-19,37.3974146331,-79.1799334526,9.0,Lynchburg,Virginia,Spotted Lanternfly
135851682,2022-09-20,37.397075,-79.18228,4.0,Lynchburg,Virginia,Spotted Lanternfly
135917636,2022-09-21,38.4110208912,-78.5816967487,6.0,Rockingham,Virginia,Spotted Lanternfly
135954387,2022-09-21,38.7900061012,-77.5695178015,53.0,Manassas,Virginia,Spotted Lanternfly
135972907,2022-09-12,39.0946184456,-77.9832932353,1706.0,Clarke,Virginia,Spotted Lanternfly
135973320,2022-08-27,38.8166063908,-77.6435250789,63.0,Prince William,Virginia,Spotted Lanternfly
136100565,2022-09-21,37.3590553442,-79.185870029,31.0,Lynchburg,Virginia,Spotted Lanternfly
136335284,2022-09-24,38.9248218847,-78.1670004129,23.0,Warren,Virginia,Spotted Lanternfly
136527720,2022-09-24,39.0613028333,-78.0645,10.0,Clarke,Virginia,Spotted Lanternfly
136529699,2022-09-25,39.1837216667,-78.1665416667,18.0,Winchester,Virginia,Spotted Lanternfly
136607853,2022-09-26,38.9946216667,-77.9698116667,4.0,Fauquier,Virginia,Spotted Lanternfly
136821994,2022-09-28,39.1470139102,-78.2647992858,7.0,Frederick,Virginia,Spotted Lanternfly
136985173,2022-09-29,39.1863966667,-78.1312416667,4.0,Frederick,Virginia,Spotted Lanternfly
137174054,2022-09-30,39.1469945,-78.2641616667,7.0,Frederick,Virginia,Spotted Lanternfly
137451456,2022-09-24,38.9960188081,-78.2993518752,49.0,Warren,Virginia,Spotted Lanternfly
137521921,2022-10-04,38.5990306456,-77.2579898872,10.0,Prince William,Virginia,Spotted Lanternfly
137657333,2022-10-05,39.0017277833,-77.9747616667,4.0,Fauquier,Virginia,Spotted Lanternfly
137772633,2022-10-06,38.4420383333,-78.5980833333,11.0,Rockingham,Virginia,Spotted Lanternfly
137872712,2022-10-07,39.1139541538,-78.1012394979,389.0,Warren,Virginia,Spotted Lanternfly
137885103,2022-10-07,39.0061947098,-78.1672481821,5.0,Warren,Virginia,Spotted Lanternfly
137975253,2022-10-08,39.1140083643,-77.5639842544,5.0,Loudoun,Virginia,Spotted Lanternfly
137975979,2022-10-08,39.1304790107,-77.8775746642,4.0,Clarke,Virginia,Spotted Lanternfly
137982729,2022-10-08,39.1124842609,-77.5661691651,8.0,Loudoun,Virginia,Spotted Lanternfly
138038284,2022-10-08,39.1513909962,-77.900527963,51.0,Clarke,Virginia,Spotted Lanternfly
138066677,2022-10-08,39.1563916667,-77.9953616667,14.0,Clarke,Virginia,Spotted Lanternfly
138066826,2022-10-08,39.16645,-78.0014333333,9.0,Clarke,Virginia,Spotted Lanternfly
